,Charming,Cheerful,Daring,Down-to-earth,Honest,Imaginative,Intelligent,Outdoorsy,Reliable,Spirited,Successful,Tough,Up-to-date,Upper class,Wholesome
Porsche,0.5,0.24,0.76,0.05,0.35,0.49,0.64,0.48,0.52,0.64,0.83,0.36,0.54,0.89,0.12
Nike athletic shoes,0.09,0.24,0.48,0.17,0.12,0.43,0.21,0.8,0.38,0.54,0.5,0.58,0.54,0.4,0.16
Mercedes,0.52,0.23,0.39,0.06,0.35,0.28,0.61,0.36,0.66,0.35,0.79,0.43,0.55,0.94,0.27
Lexus,0.4,0.1,0.32,0.07,0.23,0.29,0.49,0.32,0.42,0.24,0.5,0.25,0.48,0.76,0.13
Calvin Klein perfume,0.59,0.25,0.5,0.07,0.13,0.31,0.16,0.11,0.21,0.38,0.44,0.05,0.3,0.81,0.1
Reebok athletic shoes,0.13,0.31,0.44,0.21,0.22,0.41,0.27,0.87,0.41,0.55,0.5,0.54,0.51,0.3,0.17
Guess jeans,0.2,0.18,0.36,0.08,0.06,0.14,0.07,0.22,0.09,0.18,0.21,0.18,0.27,0.36,0.06
Levi's jeans,0.27,0.35,0.49,0.47,0.31,0.23,0.16,0.72,0.52,0.47,0.54,0.71,0.46,0.3,0.26
American Express,0.2,0.09,0.15,0.1,0.14,0.17,0.44,0.14,0.26,0.14,0.63,0.2,0.3,0.69,0.08
Three mobile phone network,0.08,0.23,0.27,0.08,0.07,0.48,0.31,0.26,0.07,0.25,0.24,0.04,0.58,0.12,0.03
Michelin tires,0.07,0.12,0.23,0.31,0.38,0.14,0.41,0.66,0.55,0.31,0.4,0.79,0.29,0.33,0.17
Visa,0.18,0.18,0.24,0.2,0.24,0.18,0.44,0.22,0.61,0.26,0.69,0.28,0.52,0.4,0.18
Foxtel cable,0.1,0.35,0.24,0.13,0.13,0.44,0.36,0.07,0.21,0.32,0.5,0.22,0.59,0.18,0.11
IBM computers,0.11,0.1,0.16,0.12,0.26,0.51,0.75,0.02,0.56,0.18,0.65,0.31,0.55,0.38,0.26
Sony televisions,0.22,0.24,0.27,0.18,0.35,0.59,0.69,0.05,0.64,0.3,0.61,0.12,0.78,0.41,0.21
Apple computers,0.25,0.27,0.23,0.14,0.27,0.54,0.71,0.04,0.32,0.34,0.43,0.13,0.53,0.33,0.24
Lee jeans,0.12,0.22,0.24,0.4,0.14,0.12,0.05,0.59,0.19,0.23,0.17,0.44,0.24,0.11,0.1
Telstra,0.05,0.05,0.1,0.16,0.04,0.12,0.22,0.07,0.16,0.08,0.38,0.26,0.22,0.11,0.13
Qantas,0.35,0.39,0.2,0.34,0.44,0.27,0.5,0.4,0.65,0.54,0.68,0.26,0.51,0.44,0.42
Revlon cosmetics,0.45,0.27,0.18,0.19,0.11,0.3,0.13,0.09,0.31,0.14,0.42,0.06,0.32,0.38,0.25
Toyota,0.19,0.26,0.19,0.41,0.39,0.33,0.41,0.64,0.66,0.36,0.56,0.59,0.48,0.15,0.36
Pepsi Cola,0.11,0.53,0.29,0.24,0.18,0.33,0.06,0.37,0.29,0.36,0.37,0.11,0.38,0.07,0.13
Diet Coke,0.13,0.43,0.2,0.21,0.2,0.26,0.09,0.35,0.31,0.29,0.48,0.1,0.43,0.06,0.17
SBS TV,0.21,0.12,0.38,0.46,0.56,0.41,0.55,0.1,0.36,0.28,0.21,0.17,0.29,0.16,0.26
Kettle chips,0.18,0.33,0.31,0.44,0.41,0.21,0.14,0.3,0.28,0.24,0.2,0.05,0.36,0.19,0.3
Thins chips,0.16,0.34,0.17,0.32,0.22,0.05,0.1,0.22,0.31,0.15,0.16,0.07,0.23,0.04,0.15
Oil of Olay lotion,0.46,0.2,0.11,0.29,0.33,0.16,0.21,0.11,0.37,0.14,0.28,0.04,0.19,0.39,0.43
Cheezels,0.07,0.47,0.04,0.3,0.19,0.11,0.03,0.22,0.23,0.12,0.18,0.06,0.15,0.02,0.12
McDonald's,0.1,0.64,0.1,0.33,0.15,0.25,0.15,0.18,0.3,0.16,0.59,0.14,0.39,0.04,0.16
Kodak film,0.19,0.42,0.08,0.35,0.5,0.33,0.38,0.54,0.67,0.16,0.5,0.12,0.33,0.17,0.29
Mattel toys,0.15,0.62,0.07,0.24,0.28,0.62,0.18,0.14,0.24,0.17,0.29,0.22,0.3,0.06,0.23
Avon cosmetics,0.33,0.33,0.07,0.26,0.25,0.2,0.1,0.06,0.23,0.07,0.23,0.06,0.2,0.06,0.26
Cadbury s chocolate,0.48,0.76,0.31,0.51,0.5,0.42,0.24,0.17,0.62,0.3,0.67,0.12,0.42,0.27,0.53
ABC radio,0.34,0.17,0.17,0.53,0.63,0.14,0.63,0.13,0.61,0.2,0.21,0.12,0.27,0.34,0.55
Hallmark cards,0.58,0.57,0.06,0.28,0.51,0.54,0.24,0.04,0.5,0.24,0.44,0.05,0.23,0.35,0.49
Arnott's,0.29,0.37,0.17,0.63,0.48,0.13,0.12,0.14,0.52,0.17,0.38,0.09,0.27,0.1,0.63
Coco Pops,0.07,0.64,0.05,0.27,0.12,0.18,0.04,0.04,0.17,0.15,0.26,0,0.08,0.01,0.22
Lego,0.09,0.51,0.09,0.45,0.49,0.58,0.32,0.06,0.41,0.17,0.37,0.32,0.2,0.05,0.39
Panadol pain reliever,0.14,0.12,0.07,0.54,0.61,0.05,0.34,0.07,0.7,0.14,0.42,0.3,0.25,0.11,0.35
Colgate toothpaste,0.2,0.45,0.13,0.51,0.56,0.17,0.32,0.12,0.82,0.19,0.56,0.23,0.37,0.09,0.52
Kmart,0.12,0.48,0.12,0.68,0.45,0.17,0.17,0.3,0.46,0.13,0.45,0.12,0.29,0.03,0.45
Campbell's soup,0.22,0.3,0.08,0.62,0.5,0.11,0.11,0.16,0.53,0.14,0.31,0.12,0.19,0.11,0.8
